basicid,GEOID,Category,Category Type,Openings_2024_zscore,Jobs_2024_zscore
1297,48085030304,All Jobs,All Jobs,-0.4965373879,-0.5462592900000001
2595,48085030542,All Jobs,All Jobs,-0.1518306488,-0.1922608934
3893,48085031717,All Jobs,All Jobs,1.2312447986,1.1734196376
5191,48085031810,All Jobs,All Jobs,0.9296834511000001,0.9068874261000001
6489,48085031811,All Jobs,All Jobs,1.4696920865,1.4181735614
7787,48113001002,All Jobs,All Jobs,0.8184434570000001,0.7027277839
9085,48113001101,All Jobs,All Jobs,0.6159120995,0.5178063356
10383,48113005300,All Jobs,All Jobs,-0.036402674100000004,-0.0634671858
11681,48113007830,All Jobs,All Jobs,1.3174222666,1.1320678962
12979,48113009611,All Jobs,All Jobs,1.7806863987,1.8379782002
14277,48113009701,All Jobs,All Jobs,1.2623004116,1.3255947721
15575,48113009702,All Jobs,All Jobs,1.104392721,1.1650781194
16873,48113011104,All Jobs,All Jobs,-0.17455964940000002,-0.1688793271
18171,48113013101,All Jobs,All Jobs,2.0303173455,2.2686991723
19469,48113013625,All Jobs,All Jobs,4.7903673171,5.3148110449
20767,48113013626,All Jobs,All Jobs,5.2008322135,5.7470194995
22065,48113013627,All Jobs,All Jobs,4.2325401034,4.3862536106
23363,48113014142,All Jobs,All Jobs,1.0065638929,0.9781871400000001
24661,48113014143,All Jobs,All Jobs,1.9997531558000001,2.2194021973
25959,48113014144,All Jobs,All Jobs,1.3404548089000001,1.4529552917
27257,48113015205,All Jobs,All Jobs,0.6117772025,0.5574401977
28555,48113015206,All Jobs,All Jobs,0.1548058001,0.1645084151
29853,48113016633,All Jobs,All Jobs,-0.5366227375,-0.49953967250000003
31151,48113017704,All Jobs,All Jobs,-0.4199020667,-0.35762034270000004
32449,48113017705,All Jobs,All Jobs,-0.3607338915,-0.321021539
33747,48113017818,All Jobs,All Jobs,-0.2207913753,-0.18832242740000002
35045,48113018206,All Jobs,All Jobs,-0.4326861967,-0.3731546173
36343,48113018300,All Jobs,All Jobs,-0.327923685,-0.2638250178
37641,48113019202,All Jobs,All Jobs,1.2864407271,1.2726797013
38939,48121021633,All Jobs,All Jobs,0.5528296544,0.5397114381
40237,48139061200,All Jobs,All Jobs,-1.7766327591,-1.6564594208
41535,48139061300,All Jobs,All Jobs,-1.4068322833,-1.2968917395
42833,48113019215,All Jobs,All Jobs,0.5381411606000001,0.5666920627
44131,48113016634,All Jobs,All Jobs,-0.0352751396,0.0074991523
45429,48113017806,All Jobs,All Jobs,-0.0745692736,-0.0383909733
46727,48113017808,All Jobs,All Jobs,-0.4397827051,-0.3980094554
48025,48113017819,All Jobs,All Jobs,0.1642769808,0.1749020708
49323,48113011105,All Jobs,All Jobs,-0.1739475553,-0.16483684240000002
50621,48113011201,All Jobs,All Jobs,-0.3386781312,-0.3152151642
51919,48113006200,All Jobs,All Jobs,0.1298812113,0.1394761057
53217,48113013202,All Jobs,All Jobs,2.0950227674,2.3562641038
54515,48085031718,All Jobs,All Jobs,1.0693108441,0.9751566327000001
55813,48085031719,All Jobs,All Jobs,1.3105601266,1.1798924245
57111,48113007831,All Jobs,All Jobs,0.5143494160000001,0.4689238972
58409,48113007832,All Jobs,All Jobs,0.5138813225000001,0.48211341550000003
59707,48085031812,All Jobs,All Jobs,0.6226165685,0.5577595802
61005,48113014145,All Jobs,All Jobs,0.8845085148,0.8612049970000001
62303,48113014146,All Jobs,All Jobs,0.9895111740000001,0.9684401911
63601,48113014147,All Jobs,All Jobs,1.9749934536,1.9318404609000002
64899,48113009802,All Jobs,All Jobs,0.8482807011,0.8584038993
66197,48113009803,All Jobs,All Jobs,1.0427310353,1.0900505616
