,GEOID,Category,Category Type,Openings_2024_zscore,Jobs_2024_zscore,Openings_2024_zscore_color
1295,48085030304,Living Wage,Living Wage Occupations,-0.4273888483,-0.4549225483,-0.5SD ~ +0.5SD
2593,48085030542,Living Wage,Living Wage Occupations,-0.0327076122,-0.08691191050000001,-0.5SD ~ +0.5SD
3891,48085031717,Living Wage,Living Wage Occupations,1.3648986875,1.2393576036,+0.5SD ~ +1.5SD
5189,48085031810,Living Wage,Living Wage Occupations,1.1302193453,1.0400545774,+0.5SD ~ +1.5SD
6487,48085031811,Living Wage,Living Wage Occupations,1.8528515763,1.6899511366,+1.5SD ~ +2.5SD
7785,48113001002,Living Wage,Living Wage Occupations,0.5846968521,0.6136278366,+0.5SD ~ +1.5SD
9083,48113001101,Living Wage,Living Wage Occupations,0.39315032320000004,0.4150186755,-0.5SD ~ +0.5SD
10381,48113005300,Living Wage,Living Wage Occupations,-0.18861608130000002,-0.15729463100000002,-0.5SD ~ +0.5SD
11679,48113007830,Living Wage,Living Wage Occupations,0.9867030461,0.9616029896,+0.5SD ~ +1.5SD
12977,48113009611,Living Wage,Living Wage Occupations,1.2737819142,1.4094758906,+0.5SD ~ +1.5SD
14275,48113009701,Living Wage,Living Wage Occupations,0.771730749,0.8732672292,+0.5SD ~ +1.5SD
15573,48113009702,Living Wage,Living Wage Occupations,0.7359710783000001,0.8550831572,+0.5SD ~ +1.5SD
16871,48113011104,Living Wage,Living Wage Occupations,-0.26141662390000003,-0.23005009380000002,-0.5SD ~ +0.5SD
18169,48113013101,Living Wage,Living Wage Occupations,2.1775137123,2.6441527399,+1.5SD ~ +2.5SD
19467,48113013625,Living Wage,Living Wage Occupations,5.955390127,6.2398102078,>=+2.5SD
20765,48113013626,Living Wage,Living Wage Occupations,6.3717743052,6.7078648429,>=+2.5SD
22063,48113013627,Living Wage,Living Wage Occupations,4.2377738201,4.3854688234,>=+2.5SD
23361,48113014142,Living Wage,Living Wage Occupations,1.0339441334,0.9618312817,+0.5SD ~ +1.5SD
24659,48113014143,Living Wage,Living Wage Occupations,1.8882436787999999,2.1791210952,+1.5SD ~ +2.5SD
25957,48113014144,Living Wage,Living Wage Occupations,1.1538654522,1.3335190904,+0.5SD ~ +1.5SD
27255,48113015205,Living Wage,Living Wage Occupations,0.28352014870000003,0.2750869106,-0.5SD ~ +0.5SD
28553,48113015206,Living Wage,Living Wage Occupations,0.029568263600000002,0.0398581776,-0.5SD ~ +0.5SD
29851,48113016633,Living Wage,Living Wage Occupations,-0.5264984854,-0.5175833134,-1.5SD ~ -0.5SD
31149,48113017704,Living Wage,Living Wage Occupations,-0.4356196169,-0.3370128638,-0.5SD ~ +0.5SD
32447,48113017705,Living Wage,Living Wage Occupations,-0.44608873600000004,-0.3724361134,-0.5SD ~ +0.5SD
33745,48113017818,Living Wage,Living Wage Occupations,-0.4036223572,-0.3273228794,-0.5SD ~ +0.5SD
35043,48113018206,Living Wage,Living Wage Occupations,-0.4424781034,-0.37278012190000004,-0.5SD ~ +0.5SD
36341,48113018300,Living Wage,Living Wage Occupations,-0.40320755540000003,-0.3121129178,-0.5SD ~ +0.5SD
37639,48113019202,Living Wage,Living Wage Occupations,1.2075575488,1.2208134829,+0.5SD ~ +1.5SD
38937,48121021633,Living Wage,Living Wage Occupations,0.6257078938,0.5773045522,+0.5SD ~ +1.5SD
40235,48139061200,Living Wage,Living Wage Occupations,-1.5087370112,-1.4405680782,-2.5SD ~ -1.5SD
41533,48139061300,Living Wage,Living Wage Occupations,-1.1572449083,-1.0881796649,-1.5SD ~ -0.5SD
42831,48113019215,Living Wage,Living Wage Occupations,0.582773781,0.6167470022,+0.5SD ~ +1.5SD
44129,48113016634,Living Wage,Living Wage Occupations,-0.34588681120000003,-0.2248897555,-0.5SD ~ +0.5SD
45427,48113017806,Living Wage,Living Wage Occupations,-0.1963664735,-0.14188493800000002,-0.5SD ~ +0.5SD
46725,48113017808,Living Wage,Living Wage Occupations,-0.4996164484,-0.4386484892,-0.5SD ~ +0.5SD
48023,48113017819,Living Wage,Living Wage Occupations,-0.1126251945,-0.0078883639,-0.5SD ~ +0.5SD
49321,48113011105,Living Wage,Living Wage Occupations,-0.2227496044,-0.20616332980000002,-0.5SD ~ +0.5SD
50619,48113011201,Living Wage,Living Wage Occupations,-0.3562758978,-0.332208457,-0.5SD ~ +0.5SD
51917,48113006200,Living Wage,Living Wage Occupations,0.0796026549,0.1294994293,-0.5SD ~ +0.5SD
53215,48113013202,Living Wage,Living Wage Occupations,2.2994461499,2.7624158825,+1.5SD ~ +2.5SD
54513,48085031718,Living Wage,Living Wage Occupations,1.146227835,0.9976852208,+0.5SD ~ +1.5SD
55811,48085031719,Living Wage,Living Wage Occupations,1.3125453917,1.1476827023,+0.5SD ~ +1.5SD
57109,48113007831,Living Wage,Living Wage Occupations,0.3158099116,0.3295137845,-0.5SD ~ +0.5SD
58407,48113007832,Living Wage,Living Wage Occupations,0.36204542240000004,0.40744826040000004,-0.5SD ~ +0.5SD
59705,48085031812,Living Wage,Living Wage Occupations,0.7163595743000001,0.5986931902,+0.5SD ~ +1.5SD
61003,48113014145,Living Wage,Living Wage Occupations,0.6591337044000001,0.6964811497000001,+0.5SD ~ +1.5SD
62301,48113014146,Living Wage,Living Wage Occupations,0.7471174966,0.7881694764,+0.5SD ~ +1.5SD
63599,48113014147,Living Wage,Living Wage Occupations,1.4562370318,1.4931249805,+0.5SD ~ +1.5SD
64897,48113009802,Living Wage,Living Wage Occupations,0.6394844716,0.6589459328,+0.5SD ~ +1.5SD
66195,48113009803,Living Wage,Living Wage Occupations,0.560184349,0.6547495387000001,+0.5SD ~ +1.5SD
67493,48113009804,Living Wage,Living Wage Occupations,0.2413920688,0.3239621098,-0.5SD ~ +0.5SD
68791,48113009900,Living Wage,Living Wage Occupations,1.8362083617,1.9209094074,+1.5SD ~ +2.5SD
70089,48113013716,Living Wage,Living Wage Occupations,1.1112497699,1.1379198491,+0.5SD ~ +1.5SD
71387,48113013717,Living Wage,Living Wage Occupations,0.6976060353,0.6486137117,+0.5SD ~ +1.5SD
72685,48113013718,Living Wage,Living Wage Occupations,0.5904643953000001,0.6177998863,+0.5SD ~ +1.5SD
73983,48113018401,Living Wage,Living Wage Occupations,-0.396676185,-0.30658719100000004,-0.5SD ~ +0.5SD
75281,48113018402,Living Wage,Living Wage Occupations,-0.4313414431,-0.3390259887,-0.5SD ~ +0.5SD
76579,48085030507,Living Wage,Living Wage Occupations,0.6462956731,0.4316784112,+0.5SD ~ +1.5SD
77877,48085030509,Living Wage,Living Wage Occupations,0.6563650498,0.4176561593,+0.5SD ~ +1.5SD
79175,48113001102,Living Wage,Living Wage Occupations,0.2816741547,0.3163954963,-0.5SD ~ +0.5SD
80473,48085030510,Living Wage,Living Wage Occupations,0.1074251682,0.0184106638,-0.5SD ~ +0.5SD
81771,48085031621,Living Wage,Living Wage Occupations,2.3110712702000002,2.2023947526,+1.5SD ~ +2.5SD
83069,48085031622,Living Wage,Living Wage Occupations,0.8458768888,0.5144103753,+0.5SD ~ +1.5SD
84367,48085031720,Living Wage,Living Wage Occupations,1.104632005,0.9764650530000001,+0.5SD ~ +1.5SD
85665,48085031721,Living Wage,Living Wage Occupations,1.7019353974,1.5759536924000002,+1.5SD ~ +2.5SD
86963,48085032019,Living Wage,Living Wage Occupations,0.8595930798,0.7388232480000001,+0.5SD ~ +1.5SD
88261,48113001301,Living Wage,Living Wage Occupations,0.1943207245,0.1696639536,-0.5SD ~ +0.5SD
89559,48113006301,Living Wage,Living Wage Occupations,-0.0628868643,-0.024398009800000002,-0.5SD ~ +0.5SD
90857,48113006302,Living Wage,Living Wage Occupations,-0.16387092250000002,-0.13819301280000001,-0.5SD ~ +0.5SD
92155,48113007833,Living Wage,Living Wage Occupations,0.4107634585,0.42874296040000004,-0.5SD ~ +0.5SD
93453,48113010102,Living Wage,Living Wage Occupations,0.9129772789,1.0174226383,+0.5SD ~ +1.5SD
94751,48113012400,Living Wage,Living Wage Occupations,-0.22267096090000002,-0.1807035445,-0.5SD ~ +0.5SD
96049,48113013300,Living Wage,Living Wage Occupations,0.9005084384,1.0252201931,+0.5SD ~ +1.5SD
97347,48113013719,Living Wage,Living Wage Occupations,1.7618279396,1.7150184499,+1.5SD ~ +2.5SD
98645,48113013720,Living Wage,Living Wage Occupations,0.9330771288,0.9166899152,+0.5SD ~ +1.5SD
99943,48113014148,Living Wage,Living Wage Occupations,1.2612767173,1.3285292501,+0.5SD ~ +1.5SD
101241,48113014149,Living Wage,Living Wage Occupations,0.8328778817,0.9153404954000001,+0.5SD ~ +1.5SD
102539,48113015305,Living Wage,Living Wage Occupations,0.09671300540000001,0.0762825942,-0.5SD ~ +0.5SD
