restractid,cat,wac
36005000100,WAC1-10,0.0
36005000200,WAC1-10,181.0
36005000400,WAC1-10,184.0
36005001600,WAC1-10,928.0
36005001900,WAC1-10,1657.0
36005002000,WAC1-10,196.0
36005002300,WAC1-10,3136.0
36005002400,WAC1-10,113.0
36005002500,WAC1-10,1441.0
36005002701,WAC1-10,1103.0
36005002702,WAC1-10,1815.0
36005002800,WAC1-10,534.0
36005003100,WAC1-10,3257.0
36005003300,WAC1-10,1107.0
36005003500,WAC1-10,1057.0
36005003700,WAC1-10,1168.0
36005003800,WAC1-10,902.0
36005003900,WAC1-10,1662.0
36005004001,WAC1-10,1061.0
36005004100,WAC1-10,5883.0
36005004200,WAC1-10,613.0
36005004300,WAC1-10,5710.0
36005004400,WAC1-10,319.0
36005004600,WAC1-10,674.0
36005004800,WAC1-10,902.0
36005005001,WAC1-10,946.0
36005005002,WAC1-10,946.0
36005005100,WAC1-10,8556.0
36005005200,WAC1-10,986.0
36005005300,WAC1-10,219.0
36005005400,WAC1-10,723.0
36005005600,WAC1-10,339.0
36005005902,WAC1-10,1732.0
36005006000,WAC1-10,283.0
36005006100,WAC1-10,2044.0
36005006200,WAC1-10,329.0
36005006300,WAC1-10,688.0
36005006400,WAC1-10,663.0
36005006500,WAC1-10,4923.0
36005006700,WAC1-10,5415.0
36005006800,WAC1-10,625.0
36005006900,WAC1-10,1577.0
36005007000,WAC1-10,650.0
36005007100,WAC1-10,2302.0
36005007200,WAC1-10,1382.0
36005007300,WAC1-10,975.0
36005007400,WAC1-10,89.0
36005007500,WAC1-10,1615.0
36005007600,WAC1-10,574.0
36005007700,WAC1-10,1487.0
36005007800,WAC1-10,336.0
36005007900,WAC1-10,1191.0
36005008300,WAC1-10,2756.0
36005008400,WAC1-10,156.0
36005008500,WAC1-10,1623.0
36005008600,WAC1-10,184.0
36005008700,WAC1-10,2187.0
36005008900,WAC1-10,3272.0
36005009000,WAC1-10,1970.0
36005009200,WAC1-10,1224.0
36005009300,WAC1-10,3994.0
36005009600,WAC1-10,2424.0
36005009800,WAC1-10,500.0
36005011000,WAC1-10,35.0
36005011502,WAC1-10,1839.0
36005011700,WAC1-10,3028.0
36005011800,WAC1-10,79.0
36005011900,WAC1-10,2209.0
36005012101,WAC1-10,1280.0
36005012102,WAC1-10,1157.0
36005012300,WAC1-10,709.0
36005012500,WAC1-10,1420.0
36005012701,WAC1-10,2262.0
36005012901,WAC1-10,2116.0
36005013000,WAC1-10,372.0
36005013100,WAC1-10,1207.0
36005013200,WAC1-10,166.0
36005013300,WAC1-10,1393.0
36005013500,WAC1-10,1446.0
36005013800,WAC1-10,65.0
36005014100,WAC1-10,1933.0
36005014300,WAC1-10,1758.0
36005014400,WAC1-10,258.0
36005014500,WAC1-10,3449.0
36005014701,WAC1-10,2570.0
36005014702,WAC1-10,662.0
36005014900,WAC1-10,2869.0
36005015100,WAC1-10,2288.0
36005015200,WAC1-10,765.0
36005015300,WAC1-10,962.0
36005015500,WAC1-10,1661.0
36005015700,WAC1-10,1396.0
36005015800,WAC1-10,682.0
36005015900,WAC1-10,2506.0
36005016000,WAC1-10,111.0
36005016100,WAC1-10,1443.0
36005016200,WAC1-10,948.0
36005016300,WAC1-10,935.0
36005016400,WAC1-10,919.0
36005016500,WAC1-10,1795.0
36005016600,WAC1-10,933.0
36005016700,WAC1-10,1662.0
36005016900,WAC1-10,1185.0
36005017100,WAC1-10,472.0
36005017300,WAC1-10,2243.0
36005017500,WAC1-10,1078.0
36005017701,WAC1-10,1308.0
36005017702,WAC1-10,798.0
36005017901,WAC1-10,1541.0
36005017902,WAC1-10,1295.0
36005018101,WAC1-10,1395.0
36005018102,WAC1-10,1921.0
36005018301,WAC1-10,2154.0
36005018302,WAC1-10,2640.0
36005018400,WAC1-10,571.0
36005018500,WAC1-10,1858.0
36005018900,WAC1-10,430.0
36005019300,WAC1-10,711.0
36005019400,WAC1-10,532.0
36005019500,WAC1-10,1735.0
36005019700,WAC1-10,2061.0
36005019900,WAC1-10,888.0
36005020000,WAC1-10,5180.0
36005020100,WAC1-10,783.0
36005020200,WAC1-10,4354.0
36005020400,WAC1-10,1144.0
36005020501,WAC1-10,507.0
36005020502,WAC1-10,718.0
36005020601,WAC1-10,1485.0
36005020900,WAC1-10,1308.0
36005021001,WAC1-10,484.0
36005021002,WAC1-10,244.0
36005021100,WAC1-10,1205.0
36005021200,WAC1-10,1351.0
36005021301,WAC1-10,1030.0
36005021302,WAC1-10,1310.0
36005021501,WAC1-10,1186.0
36005021502,WAC1-10,1482.0
36005021601,WAC1-10,644.0
36005021602,WAC1-10,1026.0
36005021700,WAC1-10,1431.0
36005021800,WAC1-10,1689.0
36005021900,WAC1-10,1755.0
36005022000,WAC1-10,1634.0
36005022101,WAC1-10,2036.0
36005022102,WAC1-10,1958.0
36005022200,WAC1-10,2037.0
36005022300,WAC1-10,1544.0
36005022401,WAC1-10,1866.0
36005022403,WAC1-10,2277.0
36005022404,WAC1-10,2242.0
36005022500,WAC1-10,961.0
36005022701,WAC1-10,3502.0
36005022702,WAC1-10,1181.0
36005022703,WAC1-10,664.0
36005022800,WAC1-10,2651.0
36005022901,WAC1-10,3931.0
36005022902,WAC1-10,2829.0
36005023000,WAC1-10,2298.0
36005023100,WAC1-10,4026.0
36005023200,WAC1-10,2196.0
36005023301,WAC1-10,4310.0
36005023302,WAC1-10,4302.0
36005023501,WAC1-10,2184.0
36005023502,WAC1-10,2008.0
36005023600,WAC1-10,2120.0
36005023702,WAC1-10,5382.0
36005023703,WAC1-10,5014.0
36005023704,WAC1-10,1290.0
36005023800,WAC1-10,2181.0
36005023900,WAC1-10,1390.0
36005024000,WAC1-10,1658.0
36005024100,WAC1-10,2270.0
36005024300,WAC1-10,1575.0
36005024400,WAC1-10,2248.0
36005024501,WAC1-10,375.0
36005024502,WAC1-10,1309.0
36005024600,WAC1-10,599.0
